file_number,message_id,topic,link,domain,top_level_domain
1004342,message #307083,IMarkers examples,http://www.eclipse.org/articles/Article-Mark%20My%20Words/mark-my-words.html,www.eclipse.org,org
1004350,message #307084,Disable logging,http://dev.eclipse.org/newslists/news.eclipse.birt/msg12005.html,dev.eclipse.org,org
1004590,message #307161,update from eclipse 3.1.2 to 3.2 problem,http://wiki.eclipse.org/index.php/FAQ_How_do_I_find_a_particular_class_from_an_Eclipse_plug-in%3F,wiki.eclipse.org,org
1004734,message #307199,setTitleToolTip,https://bugs.eclipse.org/bugs/show_bug.cgi?id=107772,bugs.eclipse.org,org
1004823,message #307223,Can one somehow select a specific mirror for updating?,https://bugs.eclipse.org/bugs/,bugs.eclipse.org,org
1004831,message #307227,IDocumentProviderExtension4,http://wiki.eclipse.org/index.php/FAQ_How_do_I_find_a_particular_class_from_an_Eclipse_plug-in%3F,wiki.eclipse.org,org
1004853,message #307231,Draft Eclipse Platform 3.3 plan is available,http://www.eclipse.org/eclipse/development/eclipse_project_plan_3_3.html,www.eclipse.org,org
1004853,message #307231,Draft Eclipse Platform 3.3 plan is available,http://www.genady.net/,www.genady.net,net
1004853,message #307231,Draft Eclipse Platform 3.3 plan is available,https://bugs.eclipse.org/bugs/show_bug.cgi?id=154100,bugs.eclipse.org,org
1004853,message #307231,Draft Eclipse Platform 3.3 plan is available,https://bugs.eclipse.org/bugs/show_bug.cgi?id=154077,bugs.eclipse.org,org
1004862,message #307234,Security: Password stored in PreferenceStore?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=22220,bugs.eclipse.org,org
1004862,message #307234,Security: Password stored in PreferenceStore?,http://www.genady.net/,www.genady.net,net
1004870,message #307235,plugin development question,http://wiki.eclipse.org/index.php/Adaptor_Hooks,wiki.eclipse.org,org
1004884,message #307246,CVS within Eclipse?,http://wiki.eclipse.org/index.php/CVS_FAQ,wiki.eclipse.org,org
1004898,message #307253,Quick CommonNavigator question.,http://scribbledideas.blogspot.com/,scribbledideas.blogspot.com,blogspot.com
1004918,message #307267,Why is org.eclipse.ui.preferences.WorkingCopyManager UI?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=82979,bugs.eclipse.org,org
1004918,message #307267,Why is org.eclipse.ui.preferences.WorkingCopyManager UI?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=3D82979,bugs.eclipse.org,org
1004918,message #307267,Why is org.eclipse.ui.preferences.WorkingCopyManager UI?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=3D154276,bugs.eclipse.org,org
1004973,message #307281,Multiple Users,http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.platform.doc.isv/reference/misc/multi_user_installs.html,help.eclipse.org,org
1004989,message #307284,Re: question about Treeviewer implementation,https://bugs.eclipse.org/bugs/show_bug.cgi?id=154329,bugs.eclipse.org,org
1004995,message #307286,TableViewer.add() throws ArrayIndexOutOfBounds when SWT.VIRTUAL is turned on,https://bugs.eclipse.org/bugs/show_bug.cgi?id=144406,bugs.eclipse.org,org
1004995,message #307286,TableViewer.add() throws ArrayIndexOutOfBounds when SWT.VIRTUAL is turned on,https://bugs.eclipse.org/bugs/show_bug.cgi?id=154755,bugs.eclipse.org,org
1005075,message #307311,Listening to Action execution?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=154130,bugs.eclipse.org,org
1005088,message #307315,Re: adapting elver resource to IResource,http://wiki.eclipse.org/index.php/EFS,wiki.eclipse.org,org
1005125,message #307325,Plugins and console output,http://wiki.eclipse.org/index.php/FAQ_How_do_I_write_to_the_console_from_a_plug-in%3F,wiki.eclipse.org,org
1005137,message #307327,IDE features in an RCP or vice versa?,http://dev.eclipse.org/newslists/news.eclipse.tools/msg02712.html,dev.eclipse.org,org
1005149,message #307328,How to contribute language pack corrections/where is the CVS repository?,http://dev.eclipse.org/mailman/listinfo/platform-releng-dev,dev.eclipse.org,org
1005155,message #307329,[Databinding] Virtual tables,http://wiki.eclipse.org/index.php/JFace_Data_Binding_TODO,wiki.eclipse.org,org
1005155,message #307329,[Databinding] Virtual tables,http://www.swt-designer.com,www.swt-designer.com,com
1005182,message #307348,bugzilla 96838 status,https://bugs.eclipse.org/bugs/show_bug.cgi?id=96838,bugs.eclipse.org,org
1005282,message #307382,control of view minimum size,http://wiki.eclipse.org/index.php/FAQ_How_do_I_set_the_size_or_position_of_my_view%3F,wiki.eclipse.org,org
1005299,message #307385,Eclipse CVS support: what do you think about?,https://bugs.eclipse.org/bugs/show_bug.cgi?id=153408,bugs.eclipse.org,org
1005334,message #307395,Is it a bug? [screenshot attached],https://bugs.eclipse.org/bugs/show_bug.cgi?id=128455,bugs.eclipse.org,org
1005358,message #307401,Open Editor on double-click in Windows Explorer,https://bugs.eclipse.org/bugs/show_bug.cgi?id=37935,bugs.eclipse.org,org
1005358,message #307401,Open Editor on double-click in Windows Explorer,https://bugs.eclipse.org/bugs/show_bug.cgi?id=4922,bugs.eclipse.org,org
1005367,message #307402,How to add an '&' ampersand to a column header?,https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Platform,bugs.eclipse.org,org
1005388,message #307406,Filling view toolbars,https://bugs.eclipse.org/bugs/enter_bug.cgi?product=Platform&component=UI,bugs.eclipse.org,org
1005393,message #307407,how can i access the main window coolbar?,http://www.eclipse.org/articles/,www.eclipse.org,org
1005393,message #307407,how can i access the main window coolbar?,http://wiki.eclipse.org/index.php/The_Official_Eclipse_FAQs,wiki.eclipse.org,org
1005393,message #307407,how can i access the main window coolbar?,http://www.eclipse.org/articles/Article-UI-Workbench/workbench.html,www.eclipse.org,org
1005403,message #307409,direct stream messages to console from a plug-in,http://wiki.eclipse.org/index.php/FAQ_How_do_I_write_to_the_console_from_a_plug-in%3F,wiki.eclipse.org,org
1005418,message #307415,Tabbed Property Pages,http://www.eclipse.org/articles/Article-Tabbed-Properties/tabbed_properties_view.html,www.eclipse.org,org
1005459,message #307432,Following the Eclipse 'style'?,http://www.eclipse.org/articles/Article-WorkbenchSelections/article.html,www.eclipse.org,org
1005553,message #307461,T-Shirt,http://www.cafepress.com/eclipseide,www.cafepress.com,com
1005553,message #307461,T-Shirt,http://www.extis.de/eclipsecup.html,www.extis.de,de
1005598,message #307475,Disable logging,http://dev.eclipse.org/newslists/news.eclipse.birt/msg12005.html,dev.eclipse.org,org
1005612,message #307481,Custom view of resource navigator,http://scribbledideas.blogspot.com/2006/05/building-common-navigator-based-viewer.html,scribbledideas.blogspot.com,blogspot.com
1005795,message #307533,How to watch a resource?,http://www.eclipse.org/articles/Article-Resource-deltas/resource-deltas.html,www.eclipse.org,org
1005795,message #307533,How to watch a resource?,http://www.satokar.com/viplugin/index.php,www.satokar.com,com
1005795,message #307533,How to watch a resource?,http://www.eclipse.org/articles/Article-Resource-deltas/resource-deltas.h=,www.eclipse.org,org
