file_number,message_id,title,author
83407,message #258962,throws and throws highlights,Eclipse User
83408,message #258964,XP Developer looking for single IDE for Java/JavaEE/JavaScript/C/C++/Python/php/Perl/Rails... and mo,Eclipse User
83409,message #258972,Re: Automating JarDesc jar generation from ant,J.-P. Pellet
83410,message #258974,2 questions concerning crosstabs in BIRT 2.2.0,Eclipse User
83411,message #258986,Eclipse 3.0 Ant editor problem,Eclipse User
83412,message #258987,using p2,Walter Harley
83413,message #258991,Editor,saurav sarkar
83414,message #258992,How can I programmatically format Java code?,Nicholas Allen
83415,message #258994,"How to run a plug-in project with template ""Plug-in with an editor""",Eclipse User
83416,message #258998,How to bring up standard Load/Save dialogs?,Eclipse User
83417,message #258999,stupid stupid stupid,Mathew Yeates
83418,message #259003,Debugging javadoc plugin's code,jayna
83419,message #259005,Howto pre-index help plugin outside eclipse,Eclipse User
83420,message #259011,eclipse 3.0 can't activate plug in on startup eclipse?,sanguanchai
83421,message #259014,looking for 3.3.1 installer,Paul Levin
83422,message #259016,Adding binary folders as classpath containers,Fredrik Robertssen
83423,message #259019,Assigning Keysequence in 3.0,Eclipse User
83424,message #259023,[RCP] Running RCP apps under MacOS X,Marcus Olk
83425,message #259027,get the id of the active view,Eclipse User
83426,message #259030,Eclipse Not Really Saving File Changes,Eclipse User
83427,message #259032,change behavior of terminate button,Tobias
83428,message #259033,java.lang.ClassCastException: org.apache.xerces.jaxp.SAXParserFactoryImpl,Eclipse User
83429,message #259036,Unable to set a watchpoint on final variable,Eclipse User
83430,message #259037,Report servlet image directory problems,Wei Liang
83431,message #259044,ASTRewrite and PackageDeclaration,Jose M Beleta
83432,message #259047,include path problem,Eclipse User
83433,message #259048,Graphical Interaction in Refactoring Rename Participant,Stefan Reinhard
83434,message #259050,How add a resourceFilter,Eclipse User
83435,message #259054,Want Xerces but get Crimson,Eclipse User
83436,message #259057,select report on jsp using taglib,Eclipse User
83437,message #259061,Custom Query Builder,Eclipse User
83438,message #259063,Synchronizing progress,Jean Couillaud
83439,message #259065,LIstener Error when starting BIRT,Eclipse User
83440,message #259067,Views question...,Eclipse User
83441,message #259068,Method is ambiguous error,Ben Vitale
83442,message #259069,How to hide page in birt multi-page editor,Eclipse User
83443,message #259077,Concatenating strings in a dataset,Eclipse User
83444,message #259078,[antview] buildfiles unclearly shown in ant view,Joerg Buchberger
83445,message #259079,export jar problem,Lothar Leidner
83446,message #259083,Files not being copied to output folder,Jonathan
83447,message #259086,testing a model that is updated asynchronously,Eclipse User
83448,message #259096,How to check for a pre-installed software?,Eclipse User
83449,message #259100,Keeping the state of the Tree Viewer,saurav sarkar
83450,message #259101,hotswap on weblogic,Tomas Vondra
83451,message #259102,Saving the HTML output,Eclipse User
83452,message #259105,Implement partial classes,Ruslan
83453,message #259106,Birt and ActiveWidgets,Steven
83454,message #259111,Problem in Dragg and Drop to an Editor,Zenil
83455,message #259113,How to see javadoc in Quick Outline,Eclipse User
83456,message #259119,special character keyboard assignment scrambled all of a sudden,Joerg Buchberger
83457,message #259122,Deprecated element flags,Eclipse User
83458,message #259124,Code Assist on Method Calls - How to get the target variable?,Marcel Bruch
